game,country,lat,long,Unnamed: 0,platform,year,Variable,playtime
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,151716.0,XOne,2016.0,Global_Sales,2.42
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,151717.0,PC,2016.0,Global_Sales,0.14
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,168434.0,PS4,2016.0,Critic_Score,77
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,168435.0,XOne,2016.0,Critic_Score,78
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,168436.0,PC,2016.0,Critic_Score,73
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,185153.0,PS4,2016.0,Critic_Count,82
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,185154.0,XOne,2016.0,Critic_Count,17
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,185155.0,PC,2016.0,Critic_Count,16
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,201872.0,PS4,2016.0,User_Score,3.4
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,201873.0,XOne,2016.0,User_Score,3.1
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,201874.0,PC,2016.0,User_Score,3
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,218591.0,PS4,2016.0,User_Count,1129
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,218592.0,XOne,2016.0,User_Count,290
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,218593.0,PC,2016.0,User_Count,440
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,235310.0,PS4,2016.0,Developer,Infinity Ward
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,235311.0,XOne,2016.0,Developer,Infinity Ward
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,235312.0,PC,2016.0,Developer,Infinity Ward
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,252029.0,PS4,2016.0,Rating,M
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,252030.0,XOne,2016.0,Rating,M
Call of Duty: Infinite Warfare,Spain,40.42,-3.7,252031.0,PC,2016.0,Rating,M
Battlefield 1,Sweden,59.33,18.06,51493.0,PS4,2016.0,Genre,Shooter
Battlefield 1,Sweden,59.33,18.06,51494.0,XOne,2016.0,Genre,Shooter
